"filename", "language", "Markdown", "JavaScript", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\raja2\Crime-Diaries\backend\TESTING.md", "Markdown", 17, 0, 0, 0, 0, 10, 27
"c:\Users\raja2\Crime-Diaries\backend\arrest_dump.md", "Markdown", 21, 0, 0, 0, 0, 22, 43
"c:\Users\raja2\Crime-Diaries\backend\case_dump.md", "Markdown", 26, 0, 0, 0, 0, 27, 53
"c:\Users\raja2\Crime-Diaries\backend\comparison_report.md", "Markdown", 374, 0, 0, 0, 0, 26, 400
"c:\Users\raja2\Crime-Diaries\backend\generate-postman.js", "JavaScript", 0, 222, 0, 0, 8, 33, 263
"c:\Users\raja2\Crime-Diaries\backend\index.js", "JavaScript", 0, 29, 0, 0, 5, 9, 43
"c:\Users\raja2\Crime-Diaries\backend\knexfile.js", "JavaScript", 0, 26, 0, 0, 0, 6, 32
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260615000000_init_pharos.js", "JavaScript", 0, 204, 0, 0, 15, 16, 235
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260617000000_phase2_additions.js", "JavaScript", 0, 105, 0, 0, 8, 13, 126
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260618000000_gin_index_and_analytics_view.js", "JavaScript", 0, 68, 0, 0, 5, 6, 79
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260619000000_nullable_template_id_report_jobs.js", "JavaScript", 0, 22, 0, 0, 1, 3, 26
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260620000000_full_delhi_hierarchy.js", "JavaScript", 0, 1845, 0, 0, 3, 3, 1851
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260620100000_report_builder_tables.js", "JavaScript", 0, 58, 0, 0, 12, 14, 84
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260620200000_warehouse_schema.js", "JavaScript", 0, 391, 0, 0, 29, 28, 448
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260620300000_phase3_reports_import.js", "JavaScript", 0, 64, 0, 0, 5, 7, 76
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260620400000_add_fields_metadata.js", "JavaScript", 0, 25, 0, 0, 0, 4, 29
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260620500000_conditional_fields.js", "JavaScript", 0, 44, 0, 0, 1, 7, 52
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260620600000_daily_diary_views.js", "JavaScript", 0, 884, 0, 0, 36, 45, 965
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260621000000_record_linkage.js", "JavaScript", 0, 51, 0, 0, 0, 7, 58
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260621194301_add_processed_rows_to_import_batches.js", "JavaScript", 0, 12, 0, 0, 0, 4, 16
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260622000000_add_io_rank_and_arrest_stolen_property.js", "JavaScript", 0, 41, 0, 0, 7, 4, 52
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260622000000_drop_report_jobs_template_fk.js", "JavaScript", 0, 22, 0, 0, 0, 3, 25
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260623000000_phone_detail_fields.js", "JavaScript", 0, 81, 0, 0, 0, 4, 85
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260623120000_add_readonly_to_field_registry.js", "JavaScript", 0, 12, 0, 0, 0, 2, 14
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260624000000_daily_diary_report_fields.js", "JavaScript", 0, 328, 0, 0, 3, 7, 338
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260625000000_unique_field_key.js", "JavaScript", 0, 13, 0, 0, 9, 3, 25
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260625100000_cleanup_uuid_hierarchy_nodes.js", "JavaScript", 0, 8, 0, 0, 7, 3, 18
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260627000000_record_persons_properties.js", "JavaScript", 0, 56, 0, 0, 10, 7, 73
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260628000000_conditional_fields_emvt_phone.js", "JavaScript", 0, 140, 0, 0, 22, 13, 175
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260629000000_case_status_conditional_fields.js", "JavaScript", 0, 80, 0, 0, 6, 10, 96
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260629100000_case_conditional_fields_move_section.js", "JavaScript", 0, 28, 0, 0, 0, 6, 34
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260629200000_prop_vehicle_repeater_fields.js", "JavaScript", 0, 88, 0, 0, 2, 9, 99
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260629300000_reorder_property_detail_fields.js", "JavaScript", 0, 26, 0, 0, 0, 2, 28
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260629400000_record_properties_extra_data.js", "JavaScript", 0, 16, 0, 0, 0, 2, 18
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260629500000_property_category_fields.js", "JavaScript", 0, 331, 0, 0, 7, 13, 351
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260629600000_fix_property_show_when_values.js", "JavaScript", 0, 31, 0, 0, 3, 4, 38
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260701000000_restore_all_conditional_property_fields.js", "JavaScript", 0, 468, 0, 0, 20, 22, 510
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260702000000_menu_tables.js", "JavaScript", 0, 153, 0, 0, 22, 23, 198
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260702100000_add_cascade_metadata_to_field_registry.js", "JavaScript", 0, 22, 0, 0, 4, 4, 30
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260703000000_add_heinous_offence_field.js", "JavaScript", 0, 28, 0, 0, 0, 3, 31
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260703000000_excel_fire_arms_subtypes.js", "JavaScript", 0, 11, 0, 0, 6, 2, 19
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260703210420_update_source_reference_options.js", "JavaScript", 0, 29, 0, 0, 0, 4, 33
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260703211052_update_occurrence_state_to_landmark.js", "JavaScript", 0, 38, 0, 0, 4, 4, 46
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260703212216_update_disposal_status_and_transfer.js", "JavaScript", 0, 108, 0, 0, 8, 17, 133
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260703213434_move_transfer_status_into_case_status.js", "JavaScript", 0, 77, 0, 0, 6, 10, 93
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260703213703_inline_transfer_to_status.js", "JavaScript", 0, 63, 0, 0, 6, 8, 77
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260703214248_fix_perm_address_show_when.js", "JavaScript", 0, 22, 0, 0, 2, 6, 30
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260703221300_restructure_missing_form_sections.js", "JavaScript", 0, 26, 0, 0, 6, 6, 38
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260703225418_remove_zipnet_and_status_move_missing.js", "JavaScript", 0, 10, 0, 0, 2, 2, 14
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260703231936_split_uidb_physical_description.js", "JavaScript", 0, 10, 0, 0, 2, 2, 14
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260704131829_restore_zipnet_missing.js", "JavaScript", 0, 10, 0, 0, 2, 2, 14
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260704143802_limit_case_status_to_case_only.js", "JavaScript", 0, 10, 0, 0, 2, 2, 14
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260704184016_add_arrest_address_fields.js", "JavaScript", 0, 83, 0, 0, 0, 3, 86
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260704184453_update_arrest_district_options.js", "JavaScript", 0, 22, 0, 0, 1, 4, 27
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260704185249_rename_arrest_place_labels.js", "JavaScript", 0, 34, 0, 0, 0, 10, 44
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260704225000_update_scheme_of_arrest_section.js", "JavaScript", 0, 10, 0, 0, 0, 2, 12
"c:\Users\raja2\Crime-Diaries\backend\migrations\20260704225500_add_scheme_of_arrest_repeater_entity.js", "JavaScript", 0, 10, 0, 0, 0, 2, 12
"c:\Users\raja2\Crime-Diaries\backend\package-lock.json", "JSON", 0, 0, 4919, 0, 0, 1, 4920
"c:\Users\raja2\Crime-Diaries\backend\package.json", "JSON", 0, 0, 47, 0, 0, 1, 48
"c:\Users\raja2\Crime-Diaries\backend\postman\pharos.postman_collection.json", "JSON", 0, 0, 873, 0, 0, 1, 874
"c:\Users\raja2\Crime-Diaries\backend\read-xlsx.js", "JavaScript", 0, 20, 0, 0, 1, 5, 26
"c:\Users\raja2\Crime-Diaries\backend\scratch_analyze_and_align.js", "JavaScript", 0, 121, 0, 0, 0, 18, 139
"c:\Users\raja2\Crime-Diaries\backend\scratch_fix_case_template.js", "JavaScript", 0, 101, 0, 0, 0, 14, 115
"c:\Users\raja2\Crime-Diaries\backend\scratch_query_fields.js", "JavaScript", 0, 24, 0, 0, 1, 7, 32
"c:\Users\raja2\Crime-Diaries\backend\scratch_query_ps.js", "JavaScript", 0, 18, 0, 0, 0, 3, 21
"c:\Users\raja2\Crime-Diaries\backend\scratch_read_all.js", "JavaScript", 0, 25, 0, 0, 0, 6, 31
"c:\Users\raja2\Crime-Diaries\backend\scratch_read_xlsx.js", "JavaScript", 0, 38, 0, 0, 1, 6, 45
"c:\Users\raja2\Crime-Diaries\backend\scratch_read_xlsx_gen.js", "JavaScript", 0, 39, 0, 0, 0, 7, 46
"c:\Users\raja2\Crime-Diaries\backend\scratch_test_import_fields.js", "JavaScript", 0, 20, 0, 0, 1, 6, 27
"c:\Users\raja2\Crime-Diaries\backend\scripts\dev\check_hierarchy.js", "JavaScript", 0, 15, 0, 0, 0, 6, 21
"c:\Users\raja2\Crime-Diaries\backend\scripts\dev\generate-field-excel.js", "JavaScript", 0, 405, 0, 0, 34, 42, 481
"c:\Users\raja2\Crime-Diaries\backend\scripts\dev\generate_parallel_report_cli.js", "JavaScript", 0, 34, 0, 0, 2, 9, 45
"c:\Users\raja2\Crime-Diaries\backend\scripts\dev\inspect_db.js", "JavaScript", 0, 16, 0, 0, 1, 5, 22
"c:\Users\raja2\Crime-Diaries\backend\scripts\dev\migrate.js", "JavaScript", 0, 13, 0, 0, 0, 3, 16
"c:\Users\raja2\Crime-Diaries\backend\scripts\dev\test_report_builder.js", "JavaScript", 0, 276, 0, 0, 31, 48, 355
"c:\Users\raja2\Crime-Diaries\backend\scripts\dev\test_warehouse.js", "JavaScript", 0, 118, 0, 0, 0, 14, 132
"c:\Users\raja2\Crime-Diaries\backend\scripts\dev\verify_reports.js", "JavaScript", 0, 98, 0, 0, 9, 18, 125
"c:\Users\raja2\Crime-Diaries\backend\scripts\dev\warehouse_backfill.js", "JavaScript", 0, 27, 0, 0, 0, 7, 34
"c:\Users\raja2\Crime-Diaries\backend\scripts\menu_table().js", "JavaScript", 0, 457, 0, 0, 24, 40, 521
"c:\Users\raja2\Crime-Diaries\backend\scripts\seed-test-data.js", "JavaScript", 0, 460, 0, 0, 47, 51, 558
"c:\Users\raja2\Crime-Diaries\backend\scripts\template-baseline.manifest.json", "JSON", 0, 0, 4064, 0, 0, 0, 4064
"c:\Users\raja2\Crime-Diaries\backend\scripts\template-regression.js", "JavaScript", 0, 174, 0, 0, 20, 10, 204
"c:\Users\raja2\Crime-Diaries\backend\scripts\update_hierarchy_codes.js", "JavaScript", 0, 194, 0, 0, 16, 25, 235
"c:\Users\raja2\Crime-Diaries\backend\seeds\01_fields.js", "JavaScript", 0, 1357, 0, 0, 93, 57, 1507
"c:\Users\raja2\Crime-Diaries\backend\seeds\02_menu_tables.js", "JavaScript", 0, 425, 0, 0, 23, 39, 487
"c:\Users\raja2\Crime-Diaries\backend\seeds\03_config.js", "JavaScript", 0, 104, 0, 0, 9, 4, 117
"c:\Users\raja2\Crime-Diaries\backend\seeds\04_users.js", "JavaScript", 0, 111, 0, 0, 18, 9, 138
"c:\Users\raja2\Crime-Diaries\backend\src\app.js", "JavaScript", 0, 153, 0, 0, 10, 37, 200
"c:\Users\raja2\Crime-Diaries\backend\src\config\cloudinary.js", "JavaScript", 0, 9, 0, 0, 0, 3, 12
"c:\Users\raja2\Crime-Diaries\backend\src\config\db.js", "JavaScript", 0, 27, 0, 0, 1, 8, 36
"c:\Users\raja2\Crime-Diaries\backend\src\config\email.js", "JavaScript", 0, 15, 0, 0, 0, 3, 18
"c:\Users\raja2\Crime-Diaries\backend\src\config\env.js", "JavaScript", 0, 15, 0, 0, 0, 3, 18
"c:\Users\raja2\Crime-Diaries\backend\src\config\swagger.js", "JavaScript", 0, 33, 0, 0, 0, 3, 36
"c:\Users\raja2\Crime-Diaries\backend\src\controllers\record.controller.js", "JavaScript", 0, 85, 0, 0, 4, 19, 108
"c:\Users\raja2\Crime-Diaries\backend\src\events\eventBus.js", "JavaScript", 0, 83, 0, 0, 4, 11, 98
"c:\Users\raja2\Crime-Diaries\backend\src\events\handlers\auditHandler.js", "JavaScript", 0, 65, 0, 0, 6, 12, 83
"c:\Users\raja2\Crime-Diaries\backend\src\events\handlers\linkAuditHandler.js", "JavaScript", 0, 52, 0, 0, 0, 6, 58
"c:\Users\raja2\Crime-Diaries\backend\src\events\handlers\notifyHandler.js", "JavaScript", 0, 95, 0, 0, 5, 10, 110
"c:\Users\raja2\Crime-Diaries\backend\src\middleware\auth.middleware.js", "JavaScript", 0, 112, 0, 0, 2, 10, 124
"c:\Users\raja2\Crime-Diaries\backend\src\middleware\error.middleware.js", "JavaScript", 0, 73, 0, 0, 7, 9, 89
"c:\Users\raja2\Crime-Diaries\backend\src\middleware\rateLimiter.middleware.js", "JavaScript", 0, 25, 0, 0, 0, 4, 29
"c:\Users\raja2\Crime-Diaries\backend\src\middleware\rbac.middleware.js", "JavaScript", 0, 67, 0, 0, 1, 14, 82
"c:\Users\raja2\Crime-Diaries\backend\src\middleware\security.middleware.js", "JavaScript", 0, 99, 0, 0, 5, 22, 126
"c:\Users\raja2\Crime-Diaries\backend\src\middleware\upload.middleware.js", "JavaScript", 0, 33, 0, 0, 0, 6, 39
"c:\Users\raja2\Crime-Diaries\backend\src\middleware\validate.middleware.js", "JavaScript", 0, 17, 0, 0, 0, 2, 19
"c:\Users\raja2\Crime-Diaries\backend\src\models\Record.model.js", "JavaScript", 0, 31, 0, 0, 0, 3, 34
"c:\Users\raja2\Crime-Diaries\backend\src\modules\admin\admin.router.js", "JavaScript", 0, 10, 0, 0, 2, 6, 18
"c:\Users\raja2\Crime-Diaries\backend\src\modules\admin\customFields.controller.js", "JavaScript", 0, 79, 0, 0, 2, 16, 97
"c:\Users\raja2\Crime-Diaries\backend\src\modules\analytics\analytics.controller.js", "JavaScript", 0, 298, 0, 0, 1, 57, 356
"c:\Users\raja2\Crime-Diaries\backend\src\modules\analytics\analytics.router.js", "JavaScript", 0, 19, 0, 0, 0, 6, 25
"c:\Users\raja2\Crime-Diaries\backend\src\modules\analytics\analytics.routes.js", "JavaScript", 0, 160, 0, 0, 0, 5, 165
"c:\Users\raja2\Crime-Diaries\backend\src\modules\analytics\analytics.service.js", "JavaScript", 0, 107, 0, 0, 0, 21, 128
"c:\Users\raja2\Crime-Diaries\backend\src\modules\audit\audit.controller.js", "JavaScript", 0, 185, 0, 0, 1, 27, 213
"c:\Users\raja2\Crime-Diaries\backend\src\modules\audit\audit.router.js", "JavaScript", 0, 11, 0, 0, 4, 8, 23
"c:\Users\raja2\Crime-Diaries\backend\src\modules\auth\auth.controller.js", "JavaScript", 0, 248, 0, 0, 3, 25, 276
"c:\Users\raja2\Crime-Diaries\backend\src\modules\auth\auth.router.js", "JavaScript", 0, 22, 0, 0, 0, 6, 28
"c:\Users\raja2\Crime-Diaries\backend\src\modules\auth\auth.routes.js", "JavaScript", 0, 90, 0, 0, 2, 6, 98
"c:\Users\raja2\Crime-Diaries\backend\src\modules\auth\auth.service.js", "JavaScript", 0, 210, 0, 0, 8, 30, 248
