district_name,district_code,ps_name,ps_code_manual_fir
CENTRAL,162,ANAND PARBAT,001
CENTRAL,162,CHANDNI MAHAL,008
CENTRAL,162,CYBER POLICE STATION CENTRAL,057
CENTRAL,162,D.B.G. ROAD,038
CENTRAL,162,DARYA GANJ,010
CENTRAL,162,HAUZ QAZI,015
CENTRAL,162,I.P.ESTATE,016
CENTRAL,162,JAMA MASJID,019
CENTRAL,162,KAMLA MARKET,023
CENTRAL,162,KAROL BAGH,026
CENTRAL,162,NABI KARIM,030
CENTRAL,162,PAHAR GANJ,041
CENTRAL,162,PATEL NAGAR,042
CENTRAL,162,PRASAD NAGAR,040
CENTRAL,162,RAJINDER NAGAR,045
CENTRAL,162,RANJIT NAGAR,056
CRIME BRANCH,175,CRIME BRANCH,001
DWARKA,176,BABA HARIDAS NAGAR,009
DWARKA,176,BINDA PUR,001
DWARKA,176,CHHAWALA,007
DWARKA,176,CYBER POLICE STATION DWARKA,013
DWARKA,176,DABRI,002
DWARKA,176,DWARKA NORTH,004
DWARKA,176,DWARKA SOUTH,003
DWARKA,176,JAFFARPUR KALAN,006
DWARKA,176,MOHAN GARDEN,012
DWARKA,176,NAJAF GARH,010
DWARKA,176,SECTOR 23 DWARKA,005
DWARKA,176,UTTAM NAGAR,008
EAST,168,CYBER POLICE STATION EAST,055
EAST,168,GHAZIPUR,010
EAST,168,KALYANPURI,013
EAST,168,LAXMI NAGAR,054
EAST,168,MADHU VIHAR,023
EAST,168,MANDAWLI FAZAL PUR,024
EAST,168,MAYUR VIHAR PH-I,026
EAST,168,NEW ASHOK NAGAR,028
EAST,168,PANDAV NAGAR,050
EAST,168,PATPARGANJ INDUSTRIAL AREA,053
EAST,168,PREET VIHAR,030
EAST,168,SHAKARPUR,052
EOW,956,ECONOMIC OFFENCES WING,001
IGI AIRPORT,169,DOMESTIC AIRPORT,001
IGI AIRPORT,169,I.G.I.AIRPORT,002
METRO,160,IGI AIRPORT METRO,004
METRO,160,INA METRO,011
METRO,160,JANAK PURI METRO,010
METRO,160,KASHMIRI GATE METRO,007
METRO,160,METRO POLICE STATION AZADPUR,015
METRO,160,METRO POLICE STATION GHITORNI,003
METRO,160,METRO POLICE STATION NANGLOI,009
METRO,160,METRO POLICE STATION NETAJI SUBHASH PLACE,016
METRO,160,METRO POLICE STATION OKHLA VIHAR,002
METRO,160,METRO POLICE STATION RAJIV CHOWK,012
METRO,160,NEHRU PLACE METRO,013
METRO,160,RAJA GARDEN METRO,008
METRO,160,RITHALA METRO,005
METRO,160,SHASHTRI PARK METRO,006
METRO,160,SUPREME COURT METRO,017
METRO,160,YAMUNA DEPOT METRO,001
NEW DELHI,165,BARAKHAMBA ROAD,002
NEW DELHI,165,CHANKYA PURI,007
NEW DELHI,165,CONNAUGHT PLACE,011
NEW DELHI,165,CYBER POLICE STATION NEW DELHI,039
NEW DELHI,165,"IITF,PRAGATI MAIDAN",012
NEW DELHI,165,KARTAVYA PATH,013
NEW DELHI,165,MANDIR MARG,015
NEW DELHI,165,NORTH AVENUE,038
NEW DELHI,165,PARLIAMENT STREET,022
NEW DELHI,165,SOUTH AVENUE,037
NEW DELHI,165,TILAK MARG,035
NEW DELHI,165,TUGHLAK ROAD,036
NORTH,166,BARA HINDU RAO,004
NORTH,166,BURARI,052
NORTH,166,CIVIL LINES,007
NORTH,166,CYBER POLICE STATION NORTH,055
NORTH,166,GULABI BAGH,024
NORTH,166,KASHMERI GATE,016
NORTH,166,KOTWALI,018
NORTH,166,LAHORI GATE,023
NORTH,166,MAURICE NAGAR,010
NORTH,166,ROOP NAGAR,031
NORTH,166,SADAR BAZAR,038
NORTH,166,SARAI ROHILLA,039
NORTH,166,SUBZI MANDI,041
NORTH,166,TIMARPUR,051
NORTH,166,WAZIRABAD,054
NORTH EAST,173,BHAJAN PURA,005
NORTH EAST,173,CYBER POLICE STATION NORTH EAST,062
NORTH EAST,173,DAYAL PUR,061
NORTH EAST,173,GOKUL PURI,054
NORTH EAST,173,HARSH VIHAR,055
NORTH EAST,173,JAFRABAD,058
NORTH EAST,173,JYOTI NAGAR,056
NORTH EAST,173,KARAWAL NAGAR,016
NORTH EAST,173,KHAJURI KHAS,015
NORTH EAST,173,NAND NAGRI,025
NORTH EAST,173,NEW USMANPUR,030
NORTH EAST,173,SEELAMPUR,042
NORTH EAST,173,SHASTRI PARK,060
NORTH EAST,173,SONIA VIHAR,057
NORTH EAST,173,WELCOME,045
NORTH WEST,172,ADARSH NAGAR,003
NORTH WEST,172,ASHOK VIHAR,006
NORTH WEST,172,BHARAT NAGAR,007
NORTH WEST,172,CYBER POLICE STATION NORTH WEST,052
NORTH WEST,172,JAHANGIR PURI,014
NORTH WEST,172,KESHAV PURAM,025
NORTH WEST,172,MAHENDRA PARK,051
NORTH WEST,172,MAURYA ENCLAVE,049
NORTH WEST,172,MODEL TOWN,017
NORTH WEST,172,MUKHERJEE NAGAR,030
NORTH WEST,172,SHALIMAR BAGH,035
NORTH WEST,172,SUBHASH PLACE,047
OUTER DISTRICT,174,CYBER POLICE STATION OUTER,030
OUTER DISTRICT,174,MANGOL PURI,005
OUTER DISTRICT,174,MUNDKA,025
OUTER DISTRICT,174,NANGLOI,021
OUTER DISTRICT,174,NIHAL VIHAR,022
OUTER DISTRICT,174,PASCHIM VIHAR EAST,026
OUTER DISTRICT,174,PASCHIM VIHAR WEST,027
OUTER DISTRICT,174,RAJ PARK,029
OUTER DISTRICT,174,RANHOLA,020
OUTER DISTRICT,174,RANI BAGH,028
OUTER DISTRICT,174,SULTANPURI,011
OUTER NORTH,991,ALIPUR,006
OUTER NORTH,991,BAWANA,004
OUTER NORTH,991,BHALSWA DAIRY,003
OUTER NORTH,991,CYBER POLICE STATION OUTER NORTH,009
OUTER NORTH,991,NARELA,007
OUTER NORTH,991,NARELA INDUSTRIAL AREA,001
OUTER NORTH,991,SAMAIPUR BADLI,008
OUTER NORTH,991,SHAHBAD DAIRY,005
OUTER NORTH,991,SWAROOP NAGAR,002
RAILWAYS,164,ANAND VIHAR RLY STN,004
RAILWAYS,164,DELHI CANTT. RAILWAY STATION,041
RAILWAYS,164,HAZRAT NIZAMUDDIN RLY STN,032
RAILWAYS,164,NEW DELHI RLY. STN.,026
RAILWAYS,164,OLD DELHI (DELHI MAIN) RLY. STN.,025
RAILWAYS,164,SARAI ROHILLA STATION,034
RAILWAYS,164,SUBZI MANDI RAILWAY STATION,042
ROHINI,959,AMAN VIHAR,016
ROHINI,959,BEGUM PUR,003
ROHINI,959,BUDH VIHAR,014
ROHINI,959,CYBER POLICE STATION ROHINI,017
ROHINI,959,K.N. KATJU MARG,007
ROHINI,959,KANJHAWALA,015
ROHINI,959,NORTH ROHINI,011
ROHINI,959,PRASHANT VIHAR,008
ROHINI,959,PREM NAGAR,013
ROHINI,959,SOUTH ROHINI,010
ROHINI,959,VIJAY VIHAR,009
SHAHDARA,957,ANAND VIHAR,002
SHAHDARA,957,CYBER POLICE STATION SHAHDARA,012
SHAHDARA,957,FARSH BAZAR,006
SHAHDARA,957,G.T.B. ENCLAVE,009
SHAHDARA,957,GANDHI NAGAR,004
SHAHDARA,957,GEETA COLONY,005
SHAHDARA,957,JAGAT PURI,011
SHAHDARA,957,KRISHNA NAGAR,003
SHAHDARA,957,MANSAROVAR PARK,008
