ps_name,ps_code_unified,used_by_registration_types
ADARSH NAGAR,124,E_THEFT;E_MVT;NCRP;ZERO_FIR
ALIPUR,222,E_THEFT;E_MVT;NCRP;ZERO_FIR
AMAN VIHAR,215,E_THEFT;E_MVT;NCRP;ZERO_FIR
AMAR COLONY,183,E_THEFT;E_MVT;NCRP;ZERO_FIR
AMBEDKAR NAGAR,080,E_THEFT;E_MVT;NCRP;ZERO_FIR
ANAND PARBAT,018,E_THEFT;E_MVT;NCRP;ZERO_FIR
ANAND VIHAR,195,E_THEFT;E_MVT;NCRP;ZERO_FIR
ANAND VIHAR RLY STN,034,E_THEFT;E_MVT;NCRP;ZERO_FIR
ASHOK VIHAR,125,E_THEFT;E_MVT;NCRP;ZERO_FIR
BABA HARIDAS NAGAR,171,E_THEFT;E_MVT;NCRP;ZERO_FIR
BADARPUR,186,E_THEFT;E_MVT;NCRP;ZERO_FIR
BARA HINDU RAO,053,E_THEFT;E_MVT;NCRP;ZERO_FIR
BARAKHAMBA ROAD,041,E_THEFT;E_MVT;NCRP;ZERO_FIR
BAWANA,220,E_THEFT;E_MVT;NCRP;ZERO_FIR
BEGUM PUR,206,E_THEFT;E_MVT;NCRP;ZERO_FIR
BHAJAN PURA,136,E_THEFT;E_MVT;NCRP;ZERO_FIR
BHALSWA DAIRY,219,E_THEFT;E_MVT;NCRP;ZERO_FIR
BHARAT NAGAR,126,E_THEFT;E_MVT;NCRP;ZERO_FIR
BINDA PUR,163,E_THEFT;E_MVT;NCRP;ZERO_FIR
BUDH VIHAR,213,E_THEFT;E_MVT;NCRP;ZERO_FIR
BURARI,065,E_THEFT;E_MVT;NCRP;ZERO_FIR
CHANDNI MAHAL,019,E_THEFT;E_MVT;NCRP;ZERO_FIR
CHANKYA PURI,042,E_THEFT;E_MVT;NCRP;ZERO_FIR
CHHAWALA,169,E_THEFT;E_MVT;NCRP;ZERO_FIR
CHITRANJAN PARK,078,E_THEFT;E_MVT;NCRP;ZERO_FIR
CIVIL LINES,054,E_THEFT;E_MVT;NCRP;ZERO_FIR
CONNAUGHT PLACE,043,E_THEFT;E_MVT;NCRP;ZERO_FIR
CRIME (WOMEN) CELL NANAK PURA,175,E_THEFT;E_MVT;NCRP;ZERO_FIR
CRIME BRANCH,162,E_THEFT;E_MVT;NCRP;ZERO_FIR
CYBER POLICE STATION CENTRAL,033,E_THEFT;E_MVT;NCRP;ZERO_FIR
CYBER POLICE STATION DWARKA,174,E_THEFT;E_MVT;NCRP;ZERO_FIR
CYBER POLICE STATION EAST,095,E_THEFT;E_MVT;NCRP;ZERO_FIR
CYBER POLICE STATION NEW DELHI,052,E_THEFT;E_MVT;NCRP;ZERO_FIR
CYBER POLICE STATION NORTH,067,E_THEFT;E_MVT;NCRP;ZERO_FIR
CYBER POLICE STATION NORTH EAST,150,E_THEFT;E_MVT;NCRP;ZERO_FIR
CYBER POLICE STATION NORTH WEST,135,E_THEFT;E_MVT;NCRP;ZERO_FIR
CYBER POLICE STATION OUTER,161,E_THEFT;E_MVT;NCRP;ZERO_FIR
CYBER POLICE STATION OUTER NORTH,225,E_THEFT;E_MVT;NCRP;ZERO_FIR
CYBER POLICE STATION ROHINI,216,E_THEFT;E_MVT;NCRP;ZERO_FIR
CYBER POLICE STATION SHAHDARA,205,E_THEFT;E_MVT;NCRP;ZERO_FIR
CYBER POLICE STATION SOUTH,083,E_THEFT;E_MVT;NCRP;ZERO_FIR
CYBER POLICE STATION SOUTH EAST,192,E_THEFT;E_MVT;NCRP;ZERO_FIR
CYBER POLICE STATION SOUTH WEST,123,E_THEFT;E_MVT;NCRP;ZERO_FIR
CYBER POLICE STATION WEST,110,E_THEFT;E_MVT;NCRP;ZERO_FIR
D.B.G. ROAD,027,E_THEFT;E_MVT;NCRP;ZERO_FIR
DABRI,164,E_THEFT;E_MVT;NCRP;ZERO_FIR
DARYA GANJ,020,E_THEFT;E_MVT;NCRP;ZERO_FIR
DAYAL PUR,149,E_THEFT;E_MVT;NCRP;ZERO_FIR
DEFENCE COLONY,068,E_THEFT;E_MVT;NCRP;ZERO_FIR
DELHI CANTT,111,E_THEFT;E_MVT;NCRP;ZERO_FIR
DELHI CANTT. RAILWAY STATION,039,E_THEFT;E_MVT;NCRP;ZERO_FIR
DOMESTIC AIRPORT,096,E_THEFT;E_MVT;NCRP;ZERO_FIR
DWARKA NORTH,166,E_THEFT;E_MVT;NCRP;ZERO_FIR
DWARKA SOUTH,165,E_THEFT;E_MVT;NCRP;ZERO_FIR
ECONOMIC OFFENCES WING,193,E_THEFT;E_MVT;NCRP;ZERO_FIR
FARSH BAZAR,199,E_THEFT;E_MVT;NCRP;ZERO_FIR
FATEHPUR BERI,069,E_THEFT;E_MVT;NCRP;ZERO_FIR
G.T.B. ENCLAVE,202,E_THEFT;E_MVT;NCRP;ZERO_FIR
GANDHI NAGAR,197,E_THEFT;E_MVT;NCRP;ZERO_FIR
GEETA COLONY,198,E_THEFT;E_MVT;NCRP;ZERO_FIR
GHAZIPUR,084,E_THEFT;E_MVT;NCRP;ZERO_FIR
GOKUL PURI,143,E_THEFT;E_MVT;NCRP;ZERO_FIR
GOVIND PURI,178,E_THEFT;E_MVT;NCRP;ZERO_FIR
GREATER KAILASH,077,E_THEFT;E_MVT;NCRP;ZERO_FIR
GULABI BAGH,059,E_THEFT;E_MVT;NCRP;ZERO_FIR
HARI NAGAR,098,E_THEFT;E_MVT;NCRP;ZERO_FIR
HARSH VIHAR,144,E_THEFT;E_MVT;NCRP;ZERO_FIR
HAUZ KHAS,070,E_THEFT;E_MVT;NCRP;ZERO_FIR
HAUZ QAZI,021,E_THEFT;E_MVT;NCRP;ZERO_FIR
HAZARAT NIZAMUDDIN,181,E_THEFT;E_MVT;NCRP;ZERO_FIR
HAZRAT NIZAMUDDIN RLY STN,037,E_THEFT;E_MVT;NCRP;ZERO_FIR
I.G.I.AIRPORT,097,E_THEFT;E_MVT;NCRP;ZERO_FIR
I.P.ESTATE,022,E_THEFT;E_MVT;NCRP;ZERO_FIR
IGI AIRPORT METRO,004,E_THEFT;E_MVT;NCRP;ZERO_FIR
"IITF,PRAGATI MAIDAN",044,E_THEFT;E_MVT;NCRP;ZERO_FIR
INA METRO,011,E_THEFT;E_MVT;NCRP;ZERO_FIR
INDER PURI,109,E_THEFT;E_MVT;NCRP;ZERO_FIR
JAFFARPUR KALAN,168,E_THEFT;E_MVT;NCRP;ZERO_FIR
JAFRABAD,147,E_THEFT;E_MVT;NCRP;ZERO_FIR
JAGAT PURI,235,E_THEFT;E_MVT;NCRP;ZERO_FIR
JAHANGIR PURI,127,E_THEFT;E_MVT;NCRP;ZERO_FIR
JAIT PUR,177,E_THEFT;E_MVT;NCRP;ZERO_FIR
JAMA MASJID,023,E_THEFT;E_MVT;NCRP;ZERO_FIR
JAMIA NAGAR,180,E_THEFT;E_MVT;NCRP;ZERO_FIR
JANAK PURI,099,E_THEFT;E_MVT;NCRP;ZERO_FIR
JANAK PURI METRO,010,E_THEFT;E_MVT;NCRP;ZERO_FIR
JYOTI NAGAR,145,E_THEFT;E_MVT;NCRP;ZERO_FIR
K.M. PUR,071,E_THEFT;E_MVT;NCRP;ZERO_FIR
K.N. KATJU MARG,207,E_THEFT;E_MVT;NCRP;ZERO_FIR
KALANDI KUNJ,190,E_THEFT;E_MVT;NCRP;ZERO_FIR
KALKAJI,184,E_THEFT;E_MVT;NCRP;ZERO_FIR
KALYANPURI,085,E_THEFT;E_MVT;NCRP;ZERO_FIR
KAMLA MARKET,024,E_THEFT;E_MVT;NCRP;ZERO_FIR
KANJHAWALA,236,E_THEFT;E_MVT;NCRP;ZERO_FIR
KAPASHERA,112,E_THEFT;E_MVT;NCRP;ZERO_FIR
KARAWAL NAGAR,138,E_THEFT;E_MVT;NCRP;ZERO_FIR
KAROL BAGH,025,E_THEFT;E_MVT;NCRP;ZERO_FIR
KARTAVYA PATH,045,E_THEFT;E_MVT;NCRP;ZERO_FIR
KASHMERI GATE,056,E_THEFT;E_MVT;NCRP;ZERO_FIR
KASHMIRI GATE METRO,007,E_THEFT;E_MVT;NCRP;ZERO_FIR
KESHAV PURAM,129,E_THEFT;E_MVT;NCRP;ZERO_FIR
KHAJURI KHAS,137,E_THEFT;E_MVT;NCRP;ZERO_FIR
KHYALA,107,E_THEFT;E_MVT;NCRP;ZERO_FIR
KIRTI NAGAR,100,E_THEFT;E_MVT;NCRP;ZERO_FIR
KISHAN GARH,120,E_THEFT;E_MVT;NCRP;ZERO_FIR
KOTWALI,057,E_THEFT;E_MVT;NCRP;ZERO_FIR
KRISHNA NAGAR,196,E_THEFT;E_MVT;NCRP;ZERO_FIR
LAHORI GATE,058,E_THEFT;E_MVT;NCRP;ZERO_FIR
LAJPAT NAGAR,182,E_THEFT;E_MVT;NCRP;ZERO_FIR
LAXMI NAGAR,094,E_THEFT;E_MVT;NCRP;ZERO_FIR
LODI COLONY,072,E_THEFT;E_MVT;NCRP;ZERO_FIR
MADHU VIHAR,086,E_THEFT;E_MVT;NCRP;ZERO_FIR
MAHENDRA PARK,134,E_THEFT;E_MVT;NCRP;ZERO_FIR
MAIDAN GARHI,081,E_THEFT;E_MVT;NCRP;ZERO_FIR
MALVIYA NAGAR,074,E_THEFT;E_MVT;NCRP;ZERO_FIR
MANDAWLI FAZAL PUR,087,E_THEFT;E_MVT;NCRP;ZERO_FIR
MANDIR MARG,046,E_THEFT;E_MVT;NCRP;ZERO_FIR
MANGOL PURI,151,E_THEFT;E_MVT;NCRP;ZERO_FIR
MANSAROVAR PARK,201,E_THEFT;E_MVT;NCRP;ZERO_FIR
MAURICE NAGAR,055,E_THEFT;E_MVT;NCRP;ZERO_FIR
MAURYA ENCLAVE,133,E_THEFT;E_MVT;NCRP;ZERO_FIR
MAYAPURI,101,E_THEFT;E_MVT;NCRP;ZERO_FIR
MAYUR VIHAR PH-I,088,E_THEFT;E_MVT;NCRP;ZERO_FIR
MEHRAULI,073,E_THEFT;E_MVT;NCRP;ZERO_FIR
METRO POLICE STATION AZADPUR,015,E_THEFT;E_MVT;NCRP;ZERO_FIR
METRO POLICE STATION GHITORNI,003,E_THEFT;E_MVT;NCRP;ZERO_FIR
METRO POLICE STATION NANGLOI,009,E_THEFT;E_MVT;NCRP;ZERO_FIR
METRO POLICE STATION NETAJI SUBHASH PLACE,016,E_THEFT;E_MVT;NCRP;ZERO_FIR
METRO POLICE STATION OKHLA VIHAR,002,E_THEFT;E_MVT;NCRP;ZERO_FIR
METRO POLICE STATION PRAGATI MAIDAN,014,E_THEFT;E_MVT;NCRP;ZERO_FIR
METRO POLICE STATION RAJIV CHOWK,012,E_THEFT;E_MVT;NCRP;ZERO_FIR
MODEL TOWN,128,E_THEFT;E_MVT;NCRP;ZERO_FIR
MOHAN GARDEN,173,E_THEFT;E_MVT;NCRP;ZERO_FIR
MOTI NAGAR,102,E_THEFT;E_MVT;NCRP;ZERO_FIR
MUKHERJEE NAGAR,130,E_THEFT;E_MVT;NCRP;ZERO_FIR
MUNDKA,156,E_THEFT;E_MVT;NCRP;ZERO_FIR
NABI KARIM,026,E_THEFT;E_MVT;NCRP;ZERO_FIR
