TABLE_SCHEMA	TABLE_NAME	COLUMN_NAME	DATA_TYPE	IS_NULLABLE	COLUMN_DEFAULT
public	arrest_details	record_id	uuid	NO	null
public	arrest_details	gd_no	character varying	YES	null
public	arrest_details	gd_date	date	YES	null
public	arrest_details	gd_time	time without time zone	YES	null
public	arrest_details	case_type	character varying	YES	null
public	arrest_details	case_status	character varying	YES	null
public	arrest_details	fir_no	character varying	YES	null
public	arrest_details	fir_date	date	YES	null
public	arrest_details	is_dd_based	boolean	YES	null
public	arrest_details	local_head_id	integer	YES	null
public	arrest_details	beat_id	character varying	YES	null
public	arrest_details	intimation_datetime	timestamp with time zone	YES	null
public	arrest_details	intimated_relative_name	character varying	YES	null
public	arrest_details	intimated_relative_relation	character varying	YES	null
public	arrest_details	intimation_mode	character varying	YES	null
public	arrest_details	nafis_prepared	boolean	YES	null
public	arrest_details	dossier_prepared	boolean	YES	null
public	arrest_details	arresting_officer_name	character varying	YES	null
public	arrest_details	arresting_officer_mobile	character varying	YES	null
public	arrest_details	arresting_officer_rank	character varying	YES	null
public	arrest_details	custody_status	character varying	YES	null
public	arrest_details	other_status_reason	character varying	YES	null
public	arrest_details	recovery	text	YES	null
public	arrest_details	seizure_desc	text	YES	null
public	arrest_details	scheme_of_arrest	character varying	YES	null
public	arrest_details	integrated_pi	boolean	YES	null
public	arrest_details	group_patrolling	boolean	YES	null
public	arrest_details	cycle_patrolling	boolean	YES	null
public	arrest_details	by_antisnatching_team	boolean	YES	null
public	arrest_details	by_prahari	boolean	YES	null
public	arrest_details	by_eyes_ears_scheme_members	boolean	YES	null
public	arrest_details	extra	jsonb	NO	'{}'::jsonb
public	arrest_details	created_at	timestamp with time zone	NO	now()
public	arrest_details	updated_at	timestamp with time zone	NO	now()
public	arrest_details	reason_for_detention	text	YES	null
public	arrestee_details	person_id	uuid	NO	null
public	arrestee_details	arrest_date	date	YES	null
public	arrestee_details	arrest_time	time without time zone	YES	null
public	arrestee_details	arrest_location_id	uuid	YES	null
public	arrestee_details	prev_involvement_count	integer	YES	null
public	arrestee_details	prev_involvement	text	YES	null
public	arrestee_details	is_po	boolean	YES	null
public	arrestee_details	po_declared_court	character varying	YES	null
public	arrestee_details	po_case_reference	character varying	YES	null
public	arrestee_details	is_bc	boolean	YES	null
public	arrestee_details	created_at	timestamp with time zone	NO	now()
public	arrestee_details	updated_at	timestamp with time zone	NO	now()
public	compilation_records	compilation_id	uuid	NO	null
